Product_ID,Product_Type,Weight_kg,Fragile,Packaging_Material,Temp_Condition,Humidity_Level
1001,Electronics,1.2,Yes,Bubble Wrap + Box,Room Temp,Low
1002,Fresh Produce,5.0,No,Foam Box + Ice Pack,Cold Chain,High
1003,Furniture,15.0,Yes,Thermocol + Box,Room Temp,Moderate
1004,Books,3.0,No,Corrugated Box,Dry,Low
1005,Pharmaceuticals,0.5,Yes,Insulated Box,Cold Chain,Low
1006,Clothing,2.0,No,Plastic Wrap + Box,Room Temp,Moderate
1007,Glassware,4.0,Yes,Bubble Wrap + Foam,Room Temp,Low
1008,Seafood,6.0,No,Ice Box,Frozen,High
1009,Electronics,0.8,Yes,Anti-Static + Box,Room Temp,Low
1010,Chemicals,10.0,Yes,Sealed Drum,Cool,Moderate
1011,Electronics,2.5,Yes,Bubble Wrap + Box,Room Temp,Low
1012,Fresh Produce,4.2,No,Foam Box + Ice Pack,Cold Chain,High
1013,Furniture,18.7,Yes,Thermocol + Box,Room Temp,Moderate
1014,Books,2.1,No,Corrugated Box,Dry,Low
1015,Pharmaceuticals,0.3,Yes,Insulated Box,Cold Chain,Low
1016,Clothing,1.8,No,Plastic Wrap + Box,Room Temp,Moderate
1017,Glassware,5.2,Yes,Bubble Wrap + Foam,Room Temp,Low
1018,Seafood,7.5,No,Ice Box,Frozen,High
1019,Electronics,1.1,Yes,Anti-Static + Box,Room Temp,Low
1020,Chemicals,12.3,Yes,Sealed Drum,Cool,Moderate
1021,Electronics,3.0,Yes,Bubble Wrap + Box,Room Temp,Low
1022,Fresh Produce,3.8,No,Foam Box + Ice Pack,Cold Chain,High
1023,Furniture,22.4,Yes,Thermocol + Box,Room Temp,Moderate
1024,Books,4.5,No,Corrugated Box,Dry,Low
1025,Pharmaceuticals,0.7,Yes,Insulated Box,Cold Chain,Low
1026,Clothing,2.5,No,Plastic Wrap + Box,Room Temp,Moderate
1027,Glassware,3.1,Yes,Bubble Wrap + Foam,Room Temp,Low
